IDX,ET0100_PRODUTO,ET0100_NOME,ET0100_D_S_I,ET0090_EAN
304873307,100020120,"CARDAN COMPLETO CC-2002-1-VV-2021",18037026,140386
309118793,100110777,"ENGRENAGEM 849.92055-822.062  VV-0347-01",18001001,2680576
312313400,101297415,"GUIA SUPERIOR AH-218.547 VV-3240-00",18001004,7895985023419
319892861,101276083,"EIXO 423.683 - VV-0952-00",18001001,7895823100418
323433229,100207200,"BARRA FIXA 849.92436 VV-0344-01",18001001,7895985003589
324976608,100093643,"PARAF FRANCES NAV 466.849 - VV-0669",18001001,2019871
326157376,103809685,"DEDO DUPLO 843.26718-VV-3427-01",18001006,7895985025611
337875113,101275970,"EIXO 360.677 - VV-0325-00",18001001,7895823100265
339769312,101297477,"POLIA MOTOR 849.95653 - VV-3398-00",18001001,7895985025338
361507369,101281988,"POLIA Z-114.42/CQ-276.33 - VV-0416-00",18001004,7895823113128
364517505,104000364,"DEDO CARACOL 132.0699C1 440.430A1VV-3379",18001006,7895985025192
367169420,100024241,"ENGR 3.225.347M1 - VV-0869-01",18001003,167109
374785303,100085099,"PARAF FRANCES NAV 466.847 - VV-0667",18001001,1401073
377768356,101281919,"CUBO 280.035 - VV-0007-00",18001001,7895823113029
380753915,100017236,"LAMINA CORTE 309.197-H-844.13-VV-0185-00",18001006,118095
386701856,100839845,"LAMINA CORTE 874.70188 VV-3471-00",18001006,83775123
390320305,102390344,"APERTADOR NAVALHA AH-226.928  VV-3872-00",18001006,7895985078488
392029984,102566541,"BARRA CORTE 30 PES DIR VV-3184 / VV-6431",18001005,7895985028322
392812968,100089837,"BARRA CORTE 13 PES 826.808-VV-0503-01",18001005,1733631
393231094,100310313,"BARRA CORTE 23 PES DQ-312.77 -VV-6023-00",18001005,7895985027677
400539730,100091151,"BARRA CORTE 15 PES 826.807-VV-0613-01",18001005,7895985005552
407857378,100094138,"MANCAL 387.449 VV-0485-00",18001001,7895985005064
410121347,101279664,"ENGRENAGEM 423.662 - VV-0460-00",18001001,7895823107721
416296321,101297125,"KIT LAMINA PICADOR 849.91906 VV-0352-00",18001006,7895985003718
419231039,101280769,"ENGRENAGEM CQ-089.96 - VV-0240-00",18001004,7895823110370
